number_of_occurence, full_citation
19,DN-a.i.298
19,AN.i.254
19,Ja.iv.184
19,Ja.iii.277
19,Ja.v.302
19,Pv-a.253
19,Iti.12
19,Vin.ii.203
19,Pv-a.142
19,Pv-a.99
19,Mil.227
19,Pv-a.217
19,AN.iv.107
19,Mil.318
19,Mil.257
19,Vv-a.42
19,Pv-a.162
19,Pp.12
19,Mil.365
19,MN.i.43
19,Mil.349
19,Ja.ii.111
19,DN.iii.237
19,Snp.p.107
19,Ja.iii.83
19,Dhp-a.ii.89
19,Ja.i.220
19,Ja.i.201
19,Ja.i.215
19,Vin.ii.89
19,Ja.v.453
19,SN.i.65
19,SN.iii.26
19,DN-a.i.140
19,DN.iii.133
19,Ja.i.116
19,MN.i.33
19,Ja.ii.48
19,SN.i.167
19,DN.iii.106
19,DN.iii.260
19,Ja.v.269
19,Pv-a.212
19,Iti.62
19,Ja.i.179
19,AN.iii.391
19,Snp.270
19,AN.v.347
19,SN.i.222
19,Pv-a.287
19,AN.ii.143
19,Kp-a.50
19,Ja.i.134
19,Ja.i.200
19,DN.i.246
19,Ja.i.170
19,SN.i.170
19,Ja.i.48
19,Vism.466
19,DN.i.10
19,DN.iii.176
19,Ja.i.394
19,Mil.5
19,AN.i.253
19,Vism.235
19,Vv-a.165
19,AN.ii.48
19,SN.i.199
19,DN.iii.270
19,SN.iii.155
19,Ja.vi.497
19,Ja.i.395
19,Vb.86
19,Pv-a.34
18,Vin.i.204
18,AN.ii.67
18,Ja.i.192
18,Snp-a.447
18,SN.i.191
18,Ja.i.80
18,Vv-a.158
18,AN.i.101
18,Iti.93
18,Snp.249
18,Mil.244
18,Vv-a.104
18,Vin.ii.196
18,DN.i.113
18,Ja.i.3
18,AN.i.161
18,AN.v.29
18,Ja.v.204
18,AN.i.38
18,Ja.v.241
18,SN.iv.118
18,AN.iii.248
18,Vb.361
18,SN.i.221
18,Mil.300
18,Ja.i.72
18,SN.ii.94
18,Vin.ii.135
18,AN.ii.24
18,Vin.i.183
18,SN.i.226
18,SN.i.131
18,AN.i.142
18,Mhvs.42
18,Vin.ii.266
18,Ja.iv.495
18,MN.i.104
18,Mil.345
18,Pv-a.276
18,Ja.vi.508
18,SN.i.15
18,Pv-a.214
18,DN.i.31
18,SN.i.44
18,SN.ii.3
18,AN.ii.32
18,AN.ii.95
18,SN.i.162
18,Iti.83
18,SN.i.197
18,DN.i.189
18,AN.v.195
18,AN.i.99
18,Pv-a.226
18,Vb.341
18,MN.i.144
18,DN-a.i.217
18,SN.i.202
18,Vv-a.9
18,DN.iii.47
18,Dhp-a.iv.197
18,Vin.ii.201
18,Vv-a.280
18,Ja.ii.61
18,Ja.vi.192
18,Mil.339
18,Ja.i.106
18,SN.iv.205
18,AN.iii.114
18,Ja.i.172
18,Pv-a.96
18,AN.i.124
18,Ja.v.400
18,SN.i.63
18,Vism.236
18,MN.i.115
18,Ja.iv.310
18,DN.iii.77
18,DN.iii.276
18,AN.i.296
18,DN.i.244
18,DN.iii.167
18,Vin.ii.77
18,DN.i.179
18,Ja.v.340
18,Vin.ii.109
18,AN.i.24
18,Iti.108
18,MN.i.8
18,DN.iii.130
18,MN.i.207
18,Vv-a.276
18,Ja.i.74
18,Dhs.584
18,Ja.vi.528
18,Ja.vi.333
18,Mil.220
18,Ja.i.303
18,DN.i.162
18,Snp.834
18,Ja.i.433
18,Mil.313
18,DN.iii.102
18,Dhp-a.i.17
